Ссылка на авто;Название авто;Год выпуска;Пробег;Кузов;Цвет;Двигатель;Коробка;Привод;Состояние;Цена в российских рублях;Цена в белорусских рублях;Цена в долларах
https://auto.ru/cars/new/group/mercedes/gle_klasse_coupe_amg/22103874/22103969/1116997413-41f932e3/;Предложение от дилера;information not found;information not found;information not found;information not found;information not found;information not found;information not found;information not found;18,400,000;754,716;295,297
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116728084-4997626a/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2020;23 000 км;внедорожник 5 дв.;серый;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;18,530,000;760,049;297,384
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116767443-454b2b91/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2022;1 000 км;внедорожник 5 дв.;серый;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;18,570,000;761,689;298,025
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116537206-6e1d64dc/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2021;1 000 км;внедорожник 5 дв.;серый;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;18,730,000;768,252;300,593
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1114991620-c79652de/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2020;14 000 км;внедорожник 5 дв.;чёрный;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;18,820,000;771,944;302,038
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116863007-43785255/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2020;30 000 км;внедорожник 5 дв.;белый;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;19,130,000;784,659;307,013
https://auto.ru/cars/new/group/mercedes/gle_klasse_coupe_amg/22103875/22103969/1116998279-82c3e48e/;Предложение от дилера;information not found;information not found;information not found;information not found;information not found;information not found;information not found;information not found;19,250,000;789,581;308,939
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115484944-94f72ef2/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2021;4 000 км;внедорожник 5 дв.;синий;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;19,340,000;793,273;310,383
https://auto.ru/cars/new/group/mercedes/gle_klasse_coupe_amg/22103874/22103969/1116556736-1d81488b/;Предложение от дилера;information not found;information not found;information not found;information not found;information not found;information not found;information not found;information not found;19,600,000;803,937;314,556
https://auto.ru/cars/new/group/mercedes/gle_klasse_coupe_amg/22103875/22103969/1114835071-12bfc026/;Предложение от дилера;information not found;information not found;information not found;information not found;information not found;information not found;information not found;information not found;19,880,000;815,422;319,049
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1116784437-5e52da97/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2021;7 000 км;внедорожник 5 дв.;серый;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;20,280,000;831,829;325,469
https://auto.ru/cars/used/sale/mercedes/gle_klasse_coupe_amg/1115017807-92516b43/;Mercedes-Benz GLE Coupe AMG 63 AMG S II (C167);2021;9 000 км;внедорожник 5 дв.;чёрный;4.0 л / 612 л.с. / Бензин;автоматическая;полный;Не требует ремонта;20,900,000;857,260;335,419
